molecule_id,neutral_mass,mass_fallback,candidate_count,top_score,top_spectral_score,top_mass_error_ppm,n_guesses
m_005e53,374.063623533379,False,27,0.9977416127843486,0.9999999999999999,1.6937904117385014,25
m_006153,341.14919999999995,False,222,0.99839549381939,0.9999999999999998,1.203379635457369,25
m_00b5aa,306.19502353337896,False,160,0.9970352604204672,1.0,2.223554684649622,25
m_01e922,249.137123533379,False,73,0.9966280128786731,1.0,2.5289903409951617,25
m_0259d4,339.170223533379,False,330,0.9972536056903164,0.9999999999999999,2.0597957322626064,25
m_02d188,345.12462353337895,False,237,0.9991540316586703,1.0,0.6344762559972092,25
m_0318b5,378.186323533379,False,38,0.9974123605807719,0.9999999999999998,1.940729564420926,25
m_043e86,289.100023533379,False,70,0.9968137930464458,0.9999999999999999,2.3896552151656065,25
m_050bf1,325.164473533379,False,158,0.9971185971564991,1.0,2.161052132625726,25
m_05b52e,343.08395,False,104,0.9986489914982668,0.9999999999999998,1.0132563762996993,25
m_068354,313.17962353337896,False,362,0.9974602120353427,1.0,1.9048409734929095,25
m_06e13d,358.039476466621,False,24,0.9983010937768066,0.9999999999999991,1.2741796673943626,24
m_06f339,348.17442353337896,False,184,0.9954308519015196,0.9999999999999998,3.426861073860154,25
m_070985,292.06522353337897,False,48,0.9982540457946584,1.0,1.3094656540062006,25
m_074e83,387.253523533379,False,36,0.9954151744770073,1.0,3.4386191422445074,25
m_089267,375.189223533379,False,58,0.9963969633973621,0.9999999999999999,2.7022774519783557,25
m_08d7f1,290.019423533379,False,4,0.9944813747787554,0.9999999999999999,4.13896891593335,4
m_0a8bf5,333.152123533379,False,284,0.9958955391787889,1.0,3.0783456159083227,25
m_0af51a,347.038823533379,False,33,0.9979577870716935,1.0,1.5316596962298643,25
m_0c4e10,347.22152353337896,False,145,0.9975740928634045,0.9999999999999996,1.8194303524463253,25
m_0cc9ea,372.022523533379,False,2,0.99879656971369,1.0,0.902572714732455,2
m_0d08be,319.131323533379,False,274,0.9977084067967825,0.9999999999999999,1.718694902412989,25
m_0d2197,319.165023533379,False,167,0.9975602949951397,0.9999999999999996,1.8297787536449546,25
m_0d3550,294.194923533379,False,54,0.9973675440668782,1.0,1.974341949841303,25
m_0d463f,346.056373533379,False,47,0.9978583628890112,1.0,1.6062278332416007,25
m_0ea8a3,334.21632353337895,False,88,0.9976992889998985,0.9999999999999999,1.7255332500760823,25
m_0ee46b,299.152723533379,False,91,0.9974149151549192,0.9999999999999999,1.9388136338105315,25
m_0f05e7,277.091923533379,False,76,0.9976496975074013,0.9999999999999999,1.7627268694489127,25
m_0fe9d9,279.08465,False,19,0.9976651671813928,0.9999999999999999,1.7511246139553704,19
m_108fdb,341.174223533379,False,390,0.9988981685036286,0.9999999999999999,0.8263736222785268,25
m_12945e,314.143723533379,False,128,0.9971670487997875,1.0,2.124713400159386,25
